30351044, VIMLE, Sofas & armchairs, 515.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-2-seat-section-gunnared-medium-grey-30351044/, false,         Cover for 2-seat section, Ehlén Johansson, 0, 0, 0
70353456, VIMLE, Sofas & armchairs, 225.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-1-seat-section-orrsta-black-blue-70353456/, false,         Cover for 1-seat section, Ehlén Johansson, 0, 0, 0
19299726, VIMLE, Beds, 7765.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-corner-sofa-bed-5-seat-with-chaise-longue-dalstorp-multicolour-s19299726/, false,         Corner sofa-bed 5-seat, Ehlén Johansson/IKEA of Sweden, 98, 83, 349
19299726, VIMLE, Sofas & armchairs, 7765.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-corner-sofa-bed-5-seat-with-chaise-longue-dalstorp-multicolour-s19299726/, false,         Corner sofa-bed 5-seat, Ehlén Johansson/IKEA of Sweden, 98, 83, 349
69285232, VIMLE, Sofas & armchairs, 6030.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-corner-sofa-5-seat-with-chaise-longue-orrsta-black-blue-s69285232/, false,         Corner sofa 5-seat, Ehlén Johansson, 164, 83, 249
99299708, VIMLE, Sofas & armchairs, 5530.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-corner-sofa-5-seat-dalstorp-multicolour-s99299708/, false,         Corner sofa 5-seat, Ehlén Johansson, 98, 83, 319
19294502, VIMLE, Sofas & armchairs, 4785.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-corner-sofa-4-seat-with-open-end-with-headrests-orrsta-black-blue-s19294502/, false,         Corner sofa 4-seat, Ehlén Johansson, 98, 103, 235
9299661, VIMLE, Sofas & armchairs, 4805.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-corner-sofa-4-seat-with-open-end-dalstorp-multicolour-s09299661/, false,         Corner sofa 4-seat, Ehlén Johansson, 98, 83, 235
99285042, VIMLE, Sofas & armchairs, 4740.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-corner-sofa-4-seat-orrsta-black-blue-s99285042/, false,         Corner sofa 4-seat, Ehlén Johansson, 98, 83, 249
19284796, VIMLE, Sofas & armchairs, 4010.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-corner-sofa-3-seat-with-open-end-gunnared-beige-s19284796/, false,         Corner sofa 3-seat, Ehlén Johansson, 98, 83, 235
79285439, VIMLE, Sofas & armchairs, 1260.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-corner-section-gunnared-medium-grey-s79285439/, false,         Corner section, Ehlén Johansson, 93, 83, 93
59285384, VIMLE, Sofas & armchairs, 1290.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-chaise-longue-section-gunnared-beige-s59285384/, false,         Chaise longue section, Ehlén Johansson, 164, 83, 81
19298265, VIMLE, Chairs, 1700.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-chaise-longue-gunnared-medium-grey-s19298265/, false,         Chaise longue, Ehlén Johansson, 164, 83, 111
